NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (09/12/99 00:20:37) page 1

PLBUILD version 3.0G

Bank Information
----------------

Bank name: TKBANK3.BNK

Size of .BNK file including header: 643458 bytes ($9D182 bytes)

Size of playlist table: 996 bytes ($3E4 bytes)

Size of playlist and sound data only: 642328 bytes ($9CD18 bytes)

Checksum: $0A00

Total number of playlists: 172 ($AC)

Total number of sound files: 176 ($B0)

Average bit rate for bank: 22.7 kbits/sec

Total linear amount of sound: 3:45.108 (min:sec.msec)



Playlist Table

  Dec  Hex   # Trks  Video  Pinball  Description
  101  $0065   1       66.6    76.3  TK: ... and its good
  102  $0066   1       79.1    90.7  TK: Tacks on the extra point
  103  $0067   1       81.6    93.6  TK: Looks like they're going for two

  105  $0069   1       54.4    62.4  TK: ... no good!

  109  $006d   1       54.8    62.9  TK: That sucked!

  111  $006f   1       74.5    85.4  TK: They're lining up for the field goal

  113  $0071   1       51.5    59.0  TK: The kick is up #1
  114  $0072   1       93.3   107.0  TK: You can put it on the board!
  115  $0073   1       66.6    76.3  TK: ... and its good
  116  $0074   1       73.2    84.0  B2K TK: Not OK!
  117  $0075   1       74.5    85.4  TKN: He missed everything
  118  $0076   1       36.8    42.2  TKN: He blocks it!!

  122  $007a   1       56.1    64.3  TKN: They blocked the kick!!

  126  $007e   1      100.0   114.7  B2K TK: How much more of this do we have to watch?
  127  $007f   1      128.5   147.4  TKN: Oh they are running up the score!

  130  $0082   1       92.1   105.6  TK: That was the final straw
  131  $0083   1      131.4   150.7  TK: The Fat Lady is singing

  133  $0085   1       55.7    63.8  B2K TK: ... nothing doing ...
  134  $0086   1       39.3    45.1  TK: ... broken up ...

  137  $0089   1       53.6    61.4  B2K TK: Big Pressure!
  138  $008a   1       79.5    91.2  B2K TK: This could be a turning point
  139  $008b   1       66.6    76.3  TKN: This is critical
  140  $008c   1       89.2   102.2  TKN: That was an illegal hit!
  141  $008d   1      163.7   187.7  B2K TK: You hate to see that ... can we look at that again
  142  $008e   1       66.1    75.8  B2K TK: Hey he can't do that!
  143  $008f   1       86.2    98.9  B2K TK: What the <bleep> was that!?!
  144  $0090   1      113.8   130.6  B2K TK: Oh yeah he's lost it now!
  145  $0091   1      100.9   115.7  B2K TK: I'm pretty sure that's not in the rule book
  146  $0092   1       62.4    71.5  B2K TK: Totally uncool!
  147  $0093   1      157.8   181.0  TK: That was uncalled for ... but fun to watch
  148  $0094   1      108.0   123.8  B2K TK: Completely unacceptable behaviour!
  149  $0095   1       73.2    84.0  B2K TK: That is football!
  150  $0096   1       32.6    37.4  TK: ... spins! ...
  151  $0097   1       40.2    46.1  TK: ... the stiffie ...
  152  $0098   1       61.1    70.1  TK: ... shedding tacklers ...
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (09/12/99 00:20:37) page 4


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------
  153  $0099   1       50.2    57.6  TK: ... busts through! ...
  154  $009a   1       69.1    79.2  TK: ... he goes up and over!
  155  $009b   1       35.6    40.8  TK: ... hurdles ...
  156  $009c   1       33.9    38.9  TK: ... jukes ...

  160  $00a0   1       53.6    61.4  TKN: It could be ...
  161  $00a1   1       69.1    79.2  TKN: ... it might be ...
  162  $00a2   1       57.3    65.8  TKN: ... it should be ...
  163  $00a3   1       45.2    51.8  TKN: ... it is!!!

  165  $00a5   1      191.7   219.8  TKN: Decapitated him!! (#1) ... not really but ...
  166  $00a6   1      199.2   228.5  B2K TK: Oh he decapitated him ... just helmet

  170  $00aa   1       69.5    79.7  TKN: I would've passed it there
  171  $00ab   1       77.0    88.3  TKN: I would've run the ball there

  175  $00af   1       57.3    65.8  TKN: ... heads up-field ...
  176  $00b0   1       58.6    67.2  TKN: He's taking off
  177  $00b1   1       72.0    82.6  TKN: Takes off downfield!
  178  $00b2   1       62.8    72.0  TKN: He makes the turn ...
  179  $00b3   1       43.5    49.9  TKN: He's running ...
  180  $00b4   1       79.5    91.2  TKN: He is burning it up!
  181  $00b5   1       91.2   104.6  TK: He is on fire!!! (#2)
  182  $00b6   1       90.8   104.2  TKN: There's no stopping them!! (#2)
  183  $00b7   1       89.6   102.7  TKN: I can feel the heat up here!
  184  $00b8   1       58.2    66.7  TKN: They're heating up
  185  $00b9   1       83.7    96.0  TKN: They are on fire!
  186  $00ba   1       91.2   104.6  TKN: They are unstoppable!

  190  $00be   1       62.4    71.5  TK: Intercepted!
  191  $00bf   1       55.2    63.4  TKN: Picked off!! #2 ...
  192  $00c0   1       60.7    69.6  TKN: ... he intercepted it!

  194  $00c2   1       48.1    55.2  TK: The deflection ...
  195  $00c3   1       22.6    25.9  TK: ... tipped ...
  196  $00c4   1       34.3    39.4  TK: Fumble #2
  197  $00c5   1       57.8    66.2  TK: The ball is loose!

  200  $00c8   1       75.3    86.4  TK: Touchdown! #1

  202  $00ca   1       44.8    51.4  TK: Safety!!

  204  $00cc   1       63.6    73.0  TKN: Time is running out
  205  $00cd   1       71.2    81.6  TKN: Very little time left
  206  $00ce   1      106.7   122.4  TKN: The clock is ticking down

  210  $00d2   1       97.5   111.8  TKN: He is goin' for daylight!
  211  $00d3   1       55.7    63.8  TKN: He's got room! #1

  215  $00d7   1      117.2   134.4  TKN: And we are underway!

  217  $00d9   1       61.5    70.6  TKN: There's teamwork
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (09/12/99 00:20:37) page 5


Playlist Table (continued)

  Dec  Hex   # Trks  Video  Pinball  Description
  ---- ----- ------ ------- -------  -----------

  219  $00db   1       58.2    66.7  TK: They're goin' for it!
  220  $00dc   1       67.4    77.3  TKN: A gutsy call!
  221  $00dd   1       90.4   103.7  TKN: Now that's a team with guts!
  222  $00de   1       59.9    68.6  TKN: What are they thinking?!?

  230  $00e6   1       67.0    76.8  TKN: Obliterates him!!
  231  $00e7   1      113.0   129.6  B2K TK: Oh he's gonna feel that one! #1
  232  $00e8   1       58.2    66.7  TKN: Smashes him!!
  233  $00e9   1       53.6    61.4  TKN: Tattoos 'im!! (#1)

  235  $00eb   1      105.5   121.0  TKN: The stiff-arm with the ball!!
  236  $00ec   1       61.5    70.6  TKN: ... with the ball!!

  240  $00f0   1       81.6    93.6  TKN: Ooooh lights out!!
  241  $00f1   1       83.3    95.5  TKN: Knocks his lights out!!

  245  $00f5   1       41.9    48.0  TKN: Sidesteps ...
  246  $00f6   1       67.4    77.3  TKN: He goes right by!
  247  $00f7   1       63.2    72.5  TKN: Eludes the tackler!
  248  $00f8   1       53.6    61.4  TKN: Whatta move!! (#1)

Total 172 Playlists
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (09/12/99 00:20:37) page 6


Region Table 

File         Size      Length   Length    Bitrate   Compression
Name         bytes     frames   seconds   kbit/sec  Parameters
-----------  --------  -------  --------  --------  -----------
2KAIROUT         2792      109  0:00.837     26.68  HENRY -v7.50 -vb47 -vi7 -vt3 
2KBIGPRS         2564      127  0:00.975     21.03  HENRY -v7.50 -vb47 -vi7 -vt3 
2KBINGO          1820       86  0:00.660     22.04  HENRY -v7.50 -vb47 -vi7 -vt3 
2KBRTLHT         3146      167  0:01.283     19.62  HENRY -v7.50 -vb47 -vi7 -vt3 
2KBRUTAL         3386      150  0:01.152     23.51  HENRY -v7.50 -vb47 -vi7 -vt3 
2KCARNGE         4104      189  0:01.452     22.62  HENRY -v7.50 -vb47 -vi7 -vt3 
2KDECAP1         8488      476  0:03.656     18.57  HENRY -v7.50 -vb47 -vi7 -vt3 
2KGNFEEL         6954      270  0:02.074     26.83  HENRY -v7.50 -vb47 -vi7 -vt3 
2KHATSEE         8512      391  0:03.003     22.68  HENRY -v7.50 -vb47 -vi7 -vt3 
2KHHCDT          3986      158  0:01.213     26.28  HENRY -v7.50 -vb47 -vi7 -vt3 
2KHRRBLE         5486      226  0:01.736     25.29  HENRY -v7.50 -vb47 -vi7 -vt3 
2KHWATCH         5062      239  0:01.836     22.06  HENRY -v7.50 -vb47 -vi7 -vt3 
2KINAIR          2564      105  0:00.806     25.44  HENRY -v7.50 -vb47 -vi7 -vt3 
2KISFTBL         2912      175  0:01.344     17.33  HENRY -v7.50 -vb47 -vi7 -vt3 
2KLASER          3254      136  0:01.044     24.92  HENRY -v7.50 -vb47 -vi7 -vt3 
2KLETFLY         2952      141  0:01.083     21.81  HENRY -v7.50 -vb47 -vi7 -vt3 
2KLOSTIT         6754      272  0:02.089     25.87  HENRY -v7.50 -vb47 -vi7 -vt3 
2KMIRACL         4144      203  0:01.559     21.26  HENRY -v7.50 -vb47 -vi7 -vt3 
2KNOTOK          3836      175  0:01.344     22.83  HENRY -v7.50 -vb47 -vi7 -vt3 
2KNTHNGD         2530      133  0:01.021     19.82  HENRY -v7.50 -vb47 -vi7 -vt3 
2KOFFEET         1968       94  0:00.722     21.81  HENRY -v7.50 -vb47 -vi7 -vt3 
2KOHMAMA         2994      133  0:01.021     23.45  HENRY -v7.50 -vb47 -vi7 -vt3 
2KOTRRBL         5128      220  0:01.690     24.28  HENRY -v7.50 -vb47 -vi7 -vt3 
2KPLSTNK         3834      208  0:01.597     19.20  HENRY -v7.50 -vb47 -vi7 -vt3 
2KRGTINT         2690      111  0:00.852     25.24  HENRY -v7.50 -vb47 -vi7 -vt3 
2KRULEBK         4544      241  0:01.851     19.64  HENRY -v7.50 -vb47 -vi7 -vt3 
2KSEETHT         5306      258  0:01.981     21.42  HENRY -v7.50 -vb47 -vi7 -vt3 
2KTRNGPT         3750      190  0:01.459     20.56  HENRY -v7.50 -vb47 -vi7 -vt3 
2KUGLIES         6874      346  0:02.657     20.69  HENRY -v7.50 -vb47 -vi7 -vt3 
2KUNACCP         5294      258  0:01.981     21.37  HENRY -v7.50 -vb47 -vi7 -vt3 
2KUNCOOL         3520      149  0:01.144     24.61  HENRY -v7.50 -vb47 -vi7 -vt3 
2KWASTHT         1658       84  0:00.645     20.56  HENRY -v7.50 -vb47 -vi7 -vt3 
2KWHTTHE         1368       96  0:00.737     14.84  HENRY -v7.50 -vb47 -vi7 -vt3 
2KWINGS          1506       76  0:00.584     20.64  HENRY -v7.50 -vb47 -vi7 -vt3 
BLEEP1           1562       62  0:00.476     26.24  HENRY -v5.00 -vb79 -vi7 -vt3 
KZAGAIN1         2378      113  0:00.868     21.92  HENRY -v7.50 -vb47 -vi7 -vt3 
KZBCKPDG         2030      104  0:00.799     20.33  HENRY -v7.50 -vb47 -vi7 -vt3 
KZBCKSUP         1672       78  0:00.599     22.33  HENRY -v7.50 -vb47 -vi7 -vt3 
KZBGGAIN         3988      212  0:01.628     19.60  HENRY -v7.50 -vb47 -vi7 -vt3 
KZBGOOH2         2794      130  0:00.998     22.39  HENRY -v7.50 -vb47 -vi7 -vt3 
KZBGOOH3         2554      110  0:00.845     24.19  HENRY -v7.50 -vb47 -vi7 -vt3 
KZBLKKCK         2830      134  0:01.029     22.00  HENRY -v7.50 -vb47 -vi7 -vt3 
KZBLLSEY         3288      128  0:00.983     26.76  HENRY -v7.50 -vb47 -vi7 -vt3 
KZBRLYGT         2698      128  0:00.983     21.96  HENRY -v7.50 -vb47 -vi7 -vt3 
KZBRNGUP         4132      190  0:01.459     22.65  HENRY -v7.50 -vb47 -vi7 -vt3 
KZCLDBE          2648      128  0:00.983     21.55  HENRY -v7.50 -vb47 -vi7 -vt3 
KZCLKTCK         5336      254  0:01.951     21.88  HENRY -v7.50 -vb47 -vi7 -vt3 
KZCLL911         5784      239  0:01.836     25.21  HENRY -v7.50 -vb47 -vi7 -vt3 
KZCNTGRB         3198      161  0:01.236     20.69  HENRY -v7.50 -vb47 -vi7 -vt3 
KZCRSHES         2198      118  0:00.906     19.40  HENRY -v7.50 -vb47 -vi7 -vt3 
KZCRTCAL         3316      159  0:01.221     21.72  HENRY -v7.50 -vb47 -vi7 -vt3 
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (09/12/99 00:20:37) page 7


Region Table (continued)

File         Size      Length   Length    Bitrate   Compression
Name         bytes     frames   seconds   kbit/sec  Parameters
-----------  --------  -------  --------  --------  -----------
KZDAYLGT         5412      233  0:01.789     24.20  HENRY -v7.50 -vb47 -vi7 -vt3 
KZDCP001         5112      247  0:01.897     21.56  HENRY -v7.50 -vb47 -vi7 -vt3 
KZDCPTA1         4380      200  0:01.536     22.81  HENRY -v7.50 -vb47 -vi7 -vt3 
KZDLVRS          1960       90  0:00.691     22.69  HENRY -v7.50 -vb47 -vi7 -vt3 
KZDMPSIT         1308       57  0:00.438     23.90  HENRY -v7.50 -vb47 -vi7 -vt3 
KZELUTCK         3266      151  0:01.160     22.53  HENRY -v7.50 -vb47 -vi7 -vt3 
KZFEELHT         4726      213  0:01.636     23.11  HENRY -v7.50 -vb47 -vi7 -vt3 
KZGTROOM         3040      133  0:01.021     23.81  HENRY -v7.50 -vb47 -vi7 -vt3 
KZGTSSCK         2902      147  0:01.129     20.56  HENRY -v7.50 -vb47 -vi7 -vt3 
KZGUTSCL         2946      161  0:01.236     19.06  HENRY -v7.50 -vb47 -vi7 -vt3 
KZHADLCH         5616      246  0:01.889     23.78  HENRY -v7.50 -vb47 -vi7 -vt3 
KZHEATUP         3578      139  0:01.068     26.81  HENRY -v7.50 -vb47 -vi7 -vt3 
KZHEBLKS         2192       88  0:00.676     25.95  HENRY -v7.50 -vb47 -vi7 -vt3 
KZHEINCP         3564      145  0:01.114     25.60  HENRY -v7.50 -vb47 -vi7 -vt3 
KZHERNNG         2340      104  0:00.799     23.44  HENRY -v7.50 -vb47 -vi7 -vt3 
KZHMARY1         8004      302  0:02.319     27.61  HENRY -v7.50 -vb47 -vi7 -vt3 
KZHMMRRC         4584      200  0:01.536     23.88  HENRY -v7.50 -vb47 -vi7 -vt3 
KZHOWMIS         3822      152  0:01.167     26.19  HENRY -v7.50 -vb47 -vi7 -vt3 
KZHUPFLD         2866      136  0:01.044     21.95  HENRY -v7.50 -vb47 -vi7 -vt3 
KZILLHIT         5662      213  0:01.636     27.69  HENRY -v7.50 -vb47 -vi7 -vt3 
KZINCPSS         2862      151  0:01.160     19.74  HENRY -v7.50 -vb47 -vi7 -vt3 
KZINCRDB         3660      153  0:01.175     24.92  HENRY -v7.50 -vb47 -vi7 -vt3 
KZITIS           2812      108  0:00.829     27.12  HENRY -v7.50 -vb47 -vi7 -vt3 
KZKNKLTO         4128      198  0:01.521     21.72  HENRY -v7.50 -vb47 -vi7 -vt3 
KZLEVLQB         4288      202  0:01.551     22.11  HENRY -v7.50 -vb47 -vi7 -vt3 
KZLIKSTM         6090      274  0:02.104     23.15  HENRY -v7.50 -vb47 -vi7 -vt3 
KZLTLTIM         3388      170  0:01.306     20.76  HENRY -v7.50 -vb47 -vi7 -vt3 
KZLTSIT2         2352      116  0:00.891     21.12  HENRY -v7.50 -vb47 -vi7 -vt3 
KZMGHTBE         3608      165  0:01.267     22.78  HENRY -v7.50 -vb47 -vi7 -vt3 
KZMKGRB1         3676      151  0:01.160     25.36  HENRY -v7.50 -vb47 -vi7 -vt3 
KZMKSTRN         3130      150  0:01.152     21.74  HENRY -v7.50 -vb47 -vi7 -vt3 
KZMSSEVR         3836      178  0:01.367     22.45  HENRY -v7.50 -vb47 -vi7 -vt3 
KZNGUDPS         3538      180  0:01.382     20.47  HENRY -v7.50 -vb47 -vi7 -vt3 
KZNOSTP2         5176      217  0:01.667     24.85  HENRY -v7.50 -vb47 -vi7 -vt3 
KZNOTGOD         3826      164  0:01.260     24.30  HENRY -v7.50 -vb47 -vi7 -vt3 
KZNOTPSS         3668      174  0:01.336     21.96  HENRY -v7.50 -vb47 -vi7 -vt3 
KZOBLITR         3132      159  0:01.221     20.52  HENRY -v7.50 -vb47 -vi7 -vt3 
KZOHSPCT         7110      297  0:02.281     24.94  HENRY -v7.50 -vb47 -vi7 -vt3 
KZOHYESS         4996      208  0:01.597     25.02  HENRY -v7.50 -vb47 -vi7 -vt3 
KZOOHMY1         4252      186  0:01.428     23.81  HENRY -v7.50 -vb47 -vi7 -vt3 
KZOOLOUT         4526      195  0:01.498     24.18  HENRY -v7.50 -vb47 -vi7 -vt3 
KZOVRTHR         2340      114  0:00.876     21.38  HENRY -v7.50 -vb47 -vi7 -vt3 
KZOWAHIT         3782      142  0:01.091     27.74  HENRY -v7.50 -vb47 -vi7 -vt3 
KZPCKOF1         2880      132  0:01.014     22.73  HENRY -v7.50 -vb47 -vi7 -vt3 
KZPHAT1          5154      227  0:01.743     23.65  HENRY -v7.50 -vb47 -vi7 -vt3 
KZPULLIN         2990      120  0:00.922     25.95  HENRY -v7.50 -vb47 -vi7 -vt3 
KZPUTPRY         3662      172  0:01.321     22.18  HENRY -v7.50 -vb47 -vi7 -vt3 
KZRGTHBY         3832      161  0:01.236     24.79  HENRY -v7.50 -vb47 -vi7 -vt3 
KZRLLNGL         2366      116  0:00.891     21.25  HENRY -v7.50 -vb47 -vi7 -vt3 
KZRLLNGR         2428      101  0:00.776     25.04  HENRY -v7.50 -vb47 -vi7 -vt3 
KZRUNSCR         7124      307  0:02.358     24.17  HENRY -v7.50 -vb47 -vi7 -vt3 
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (09/12/99 00:20:37) page 8


Region Table (continued)

File         Size      Length   Length    Bitrate   Compression
Name         bytes     frames   seconds   kbit/sec  Parameters
-----------  --------  -------  --------  --------  -----------
KZSAWBLL         5326      252  0:01.935     22.02  HENRY -v7.50 -vb47 -vi7 -vt3 
KZSCKSQB         3972      189  0:01.452     21.89  HENRY -v7.50 -vb47 -vi7 -vt3 
KZSHLDBE         3126      137  0:01.052     23.77  HENRY -v7.50 -vb47 -vi7 -vt3 
KZSHLDPS         3526      166  0:01.275     22.13  HENRY -v7.50 -vb47 -vi7 -vt3 
KZSIDSTP         1736      100  0:00.768     18.08  HENRY -v7.50 -vb47 -vi7 -vt3 
KZSMEDIC         3176      141  0:01.083     23.46  HENRY -v7.50 -vb47 -vi7 -vt3 
KZSMSHES         2924      139  0:01.068     21.91  HENRY -v7.50 -vb47 -vi7 -vt3 
KZTATOO1         2890      128  0:00.983     23.52  HENRY -v7.50 -vb47 -vi7 -vt3 
KZTFABL1         4188      232  0:01.782     18.80  HENRY -v7.50 -vb47 -vi7 -vt3 
KZTHROFR         4406      200  0:01.536     22.95  HENRY -v7.50 -vb47 -vi7 -vt3 
KZTIMRUN         3580      152  0:01.167     24.53  HENRY -v7.50 -vb47 -vi7 -vt3 
KZTKGOFF         3196      140  0:01.075     23.78  HENRY -v7.50 -vb47 -vi7 -vt3 
KZTKSDWN         3822      172  0:01.321     23.15  HENRY -v7.50 -vb47 -vi7 -vt3 
KZTMGUTS         3768      216  0:01.659     18.17  HENRY -v7.50 -vb47 -vi7 -vt3 
KZTMWRK2         2874      146  0:01.121     20.51  HENRY -v7.50 -vb47 -vi7 -vt3 
KZTOMROW         4462      193  0:01.482     24.08  HENRY -v7.50 -vb47 -vi7 -vt3 
KZUNDRWY         6672      280  0:02.150     24.82  HENRY -v7.50 -vb47 -vi7 -vt3 
KZUNSTOP         4790      218  0:01.674     22.89  HENRY -v7.50 -vb47 -vi7 -vt3 
KZVCIOU2         5026      225  0:01.728     23.27  HENRY -v7.50 -vb47 -vi7 -vt3 
KZWASPTH         3044      142  0:01.091     22.33  HENRY -v7.50 -vb47 -vi7 -vt3 
KZWHIPST         1524       80  0:00.614     19.84  HENRY -v7.50 -vb47 -vi7 -vt3 
KZWHTMOV         2794      128  0:00.983     22.74  HENRY -v7.50 -vb47 -vi7 -vt3 
KZWHTTHK         2836      143  0:01.098     20.66  HENRY -v7.50 -vb47 -vi7 -vt3 
KZWLDPAS         3552      166  0:01.275     22.29  HENRY -v7.50 -vb47 -vi7 -vt3 
KZWLDRUN         3640      184  0:01.413     20.61  HENRY -v7.50 -vb47 -vi7 -vt3 
KZWTHBLL         2928      146  0:01.121     20.89  HENRY -v7.50 -vb47 -vi7 -vt3 
KZYESS1          1932       94  0:00.722     21.41  HENRY -v7.50 -vb47 -vi7 -vt3 
TKBBBLES         1808       85  0:00.653     22.16  HENRY -v7.50 -vb47 -vi7 -vt3 
TKBEAUMV         3760      203  0:01.559     19.29  HENRY -v7.50 -vb47 -vi7 -vt3 
TKBLOOSE         3200      138  0:01.060     24.15  HENRY -v7.50 -vb47 -vi7 -vt3 
TKBRKNUP         1808       94  0:00.722     20.04  HENRY -v7.50 -vb47 -vi7 -vt3 
TKBSTSTH         1922      120  0:00.922     16.68  HENRY -v7.50 -vb47 -vi7 -vt3 
TKDFLCTN         2214      115  0:00.883     20.05  HENRY -v7.50 -vb47 -vi7 -vt3 
TKDIDHMR         5762      237  0:01.820     25.33  HENRY -v7.50 -vb47 -vi7 -vt3 
TKFATLDY         6344      314  0:02.412     21.05  HENRY -v7.50 -vb47 -vi7 -vt3 
TKFDBACK         2310      124  0:00.952     19.41  HENRY -v7.50 -vb47 -vi7 -vt3 
TKFIRES2         1910       78  0:00.599     25.51  HENRY -v7.50 -vb47 -vi7 -vt3 
TKFMBLE2         1890       82  0:00.630     24.01  HENRY -v7.50 -vb47 -vi7 -vt3 
TKFNLSTW         4692      220  0:01.690     22.22  HENRY -v7.50 -vb47 -vi7 -vt3 
TKFUNWTH         4036      192  0:01.475     21.90  HENRY -v7.50 -vb47 -vi7 -vt3 
TKGNGFRT         2712      139  0:01.068     20.32  HENRY -v7.50 -vb47 -vi7 -vt3 
TKGOIDP2         4034      184  0:01.413     22.84  HENRY -v7.50 -vb47 -vi7 -vt3 
