NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (08/22/99 00:34:20) page 1

PLBUILD version 3.0G

Bank Information
----------------

Bank name: PLAYERS.BNK

Size of .BNK file including header: 490608 bytes ($77C70 bytes)

Size of playlist table: 780 bytes ($30C bytes)

Size of playlist and sound data only: 489694 bytes ($778DE bytes)

Checksum: $CACE

Total number of playlists: 93 ($5D)

Total number of sound files: 91 ($5B)

Average bit rate for bank: 40.3 kbits/sec

Total linear amount of sound: 1:36.929 (min:sec.msec)



Playlist Table

  Dec  Hex   # Trks  Video  Pinball  Description
  191  $00bf   1       54.4    62.4  Screen Slam
  192  $00c0   1      104.2   119.5  Player catches fire
  193  $00c1   1       30.6    35.0  About to catch fire warning
  194  $00c2   1       82.9    95.0  Not on fire anymore bummer sound

Total 93 Playlists
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (08/22/99 00:34:20) page 4


Region Table 

File         Size      Length   Length    Bitrate   Compression
Name         bytes     frames   seconds   kbit/sec  Parameters
-----------  --------  -------  --------  --------  -----------
BIGHIT2          6198      123  0:00.945     52.49  HENRY -v5.25 -vb79 -vi7 -vt0 
BIGHIT4          6226      157  0:01.206     41.31  HENRY -v5.25 -vb79 -vi7 -vt0 
BLITZ1           8528      307  0:02.358     28.94  HENRY -v7.00 -vb47 -vi7 -vr31 -vt3 
BUMMER1          9136      161  0:01.236     59.11  HENRY -v5.00 -vb79 -vi7 -vr63 -vt0 
BWLPINS1         7650      142  0:01.091     56.12  HENRY -v5.00 -vb79 -vi7 -vr63 -vt0 
CTCHBLL1         4080       57  0:00.438     74.56  HENRY -v4.50 -vb95 -vi7 -vt0 
CTCHFIR2        10362      173  0:01.329     62.39  HENRY -v5.00 -vb95 -vi7 -vr79 -vt1 
DFANYDAY         3476      184  0:01.413     19.68  HENRY -v7.50 -vb47 -vi7 -vt1 
DFCMNTHR         3314      178  0:01.367     19.39  HENRY -v7.50 -vb47 -vi7 -vt1 
DFGRAB1           814       43  0:00.330     19.72  HENRY -v7.50 -vb47 -vi7 -vt1 
DFGRAB2           710       51  0:00.392     14.50  HENRY -v7.50 -vb47 -vi7 -vt1 
DFHITGD2         1324       71  0:00.545     19.42  HENRY -v7.50 -vb47 -vi7 -vt1 
DFPUSH1          1056       65  0:00.499     16.92  HENRY -v7.50 -vb47 -vi7 -vt1 
DFPUSHD1         1022       53  0:00.407     20.09  HENRY -v7.50 -vb47 -vi7 -vt1 
DFSISSY          3366      275  0:02.112     12.75  HENRY -v7.50 -vb47 -vi7 -vt1 
DFSMAKD1         1014       56  0:00.430     18.86  HENRY -v7.50 -vb47 -vi7 -vt1 
DFTHRTME         2602      117  0:00.899     23.17  HENRY -v7.50 -vb47 -vi7 -vt1 
DFTHRWN1         2156      108  0:00.829     20.79  HENRY -v7.50 -vb47 -vi7 -vt1 
DFTHRWN2         1888      108  0:00.829     18.21  HENRY -v7.50 -vb47 -vi7 -vt1 
DFWAITNG         2660      132  0:01.014     20.99  HENRY -v7.50 -vb47 -vi7 -vt1 
DFWCHPNK         1902      120  0:00.922     16.51  HENRY -v7.50 -vb47 -vi7 -vt1 
DFWTINFR         2656      156  0:01.198     17.74  HENRY -v7.50 -vb47 -vi7 -vt1 
DOINK1           3502       51  0:00.392     71.53  HENRY -v5.00 -vb95 -vi7 -vr79 -vt0 
EXPOINT         21104      275  0:02.112     79.94  HENRY -v3.75 -vb95 -vi7 -vr79 -vt0 
FIREOUT1         8940      197  0:01.513     47.27  HENRY -v5.00 -vb95 -vi7 -vr79 -vt3 
FIREWARN         4980       72  0:00.553     72.05  HENRY -v5.00 -vb95 -vi7 -vr79 -vt1 
FLDGOAL         41022      574  0:04.408     74.44  HENRY -v3.75 -vb95 -vi7 -vr79 -vt0 
GUN2             7530      196  0:01.505     40.02  HENRY -v5.25 -vb79 -vi7 -vt1 
HITGRD10         4282       86  0:00.660     51.87  HENRY -v5.75 -vb95 -vi7 -vr79 -vt0 
HITGRD11         6156      127  0:00.975     50.49  HENRY -v5.75 -vb95 -vi7 -vr79 -vt0 
HITGRND1         3072       88  0:00.676     36.36  HENRY -v5.75 -vb63 -vi7 -vt0 
HITGRND6         3860       86  0:00.660     46.75  HENRY -v5.75 -vb79 -vi7 -vt0 
HITGRND9         2118       78  0:00.599     28.29  HENRY -v5.75 -vb79 -vi7 -vt0 
INTRCPT1         9214      149  0:01.144     64.42  HENRY -v4.75 -vb95 -vi7 -vr79 -vt0 
JHOVRHRE         3034      161  0:01.236     19.63  HENRY -v7.50 -vb47 -vi7 -vt1 
JHPUSH1           982       62  0:00.476     16.50  HENRY -v7.50 -vb47 -vi7 -vt1 
JHPUSH2          1588       96  0:00.737     17.23  HENRY -v7.50 -vb47 -vi7 -vt1 
JHPUSH3          1194       69  0:00.530     18.03  HENRY -v7.50 -vb47 -vi7 -vt1 
JHYVRHRE         3614      204  0:01.567     18.45  HENRY -v7.50 -vb47 -vi7 -vt1 
LATERAL          2778       53  0:00.407     54.60  HENRY -v5.00 -vb95 -vi7 -vr79 -vt1 
NEWTHROW         5218      118  0:00.906     46.06  HENRY -v5.00 -vb95 -vi7 -vr79 -vt1 
NUBGHIT1         5590      123  0:00.945     47.34  HENRY -v5.00 -vb95 -vi7 -vr79 -vt0 
NULINSCR         7994      123  0:00.945     67.70  HENRY -v5.00 -vb95 -vi7 -vr79 -vt1 
ONFIRE           7560      143  0:01.098     55.07  HENRY -v5.00 -vb95 -vi7 -vr79 -vt1 
RCCNCT1          1632       86  0:00.660     19.77  HENRY -v7.50 -vb47 -vi7 -vt1 
RCPUSHD1          932       62  0:00.476     15.66  HENRY -v7.50 -vb47 -vi7 -vt1 
RCSMAKD1         1994      105  0:00.806     19.78  HENRY -v7.50 -vb47 -vi7 -vt1 
RCSPIN3          4216       91  0:00.699     48.26  HENRY -v5.00 -vb79 -vi15 -vr63 
RCTHRTME         2708      143  0:01.098     19.73  HENRY -v7.50 -vb47 -vi7 -vt1 
RCTHRWN1         2592      124  0:00.952     21.77  HENRY -v7.50 -vb47 -vi7 -vt1 
RCTHRWN2         3062      141  0:01.083     22.62  HENRY -v7.50 -vb47 -vi7 -vt1 
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (08/22/99 00:34:20) page 5


Region Table (continued)

File         Size      Length   Length    Bitrate   Compression
Name         bytes     frames   seconds   kbit/sec  Parameters
-----------  --------  -------  --------  --------  -----------
RIC1             2968       91  0:00.699     33.97  HENRY -v5.75 -vb79 -vi7 -vr63 -vt1 
RUMBLE3          7884      289  0:02.220     28.42  HENRY -v6.25 -vb79 -vi7 -vr63 -vt0 
RUMBLE4          9660      286  0:02.196     35.18  HENRY -v6.25 -vb79 -vi7 -vr63 -vt0 
RUMBLE5         10072      340  0:02.611     30.86  HENRY -v6.25 -vb79 -vi7 -vr63 -vt0 
SAFETY          35324      436  0:03.348     84.39  HENRY -v3.00 -vb95 -vi7 -vt0 
SCRNSLAM         6838      129  0:00.991     55.22  HENRY -v4.00 -vb95 -vi7 -vt0 
SCRNWHSH         3454       61  0:00.468     58.98  HENRY -v5.00 -vb79 -vi7 -vt3 
SDCNCT1          1744      108  0:00.829     16.82  HENRY -v7.50 -vb47 -vi7 -vt1 
SDGETFAC         2524      142  0:01.091     18.52  HENRY -v7.00 -vb47 -vi7 -vt1 
SDHITGD1         1322       83  0:00.637     16.59  HENRY -v7.50 -vb47 -vi7 -vt1 
SDHITGD2         1734      105  0:00.806     17.20  HENRY -v7.50 -vb47 -vi7 -vt1 
SDPUSH1          1678       98  0:00.753     17.84  HENRY -v7.50 -vb47 -vi7 -vt1 
SDPUSHD1         1666      103  0:00.791     16.85  HENRY -v7.50 -vb47 -vi7 -vt1 
SDQB354          2586      175  0:01.344     15.39  HENRY -v7.50 -vb47 -vi7 -vt1 
SDQBBL42         2900      188  0:01.444     16.07  HENRY -v7.50 -vb47 -vi7 -vt1 
SDQBBL8          1888      109  0:00.837     18.04  HENRY -v7.50 -vb47 -vi7 -vt1 
SDQBGO           1224       85  0:00.653     15.00  HENRY -v7.50 -vb47 -vi7 -vt1 
SDQBHIKE          966       68  0:00.522     14.80  HENRY -v7.50 -vb47 -vi7 -vt1 
SDQBHUT          1512       79  0:00.607     19.94  HENRY -v7.50 -vb47 -vi7 -vt1 
SDQBRED          1748       99  0:00.760     18.39  HENRY -v7.50 -vb47 -vi7 -vt1 
SDSMAKD1         1350       88  0:00.676     15.98  HENRY -v7.50 -vb47 -vi7 -vt1 
SDTHRW1          3548      158  0:01.213     23.39  HENRY -v7.50 -vb47 -vi7 -vt1 
SDTHRW2          3200      145  0:01.114     22.99  HENRY -v7.50 -vb47 -vi7 -vt1 
SLAP1            1762       34  0:00.261     53.98  HENRY -v5.00 -vb79 -vi7 -vt0 
SMHIT4           4382      108  0:00.829     42.26  HENRY -v6.00 -vb79 -vi7 -vr63 -vt0 
SMHIT5           4072       91  0:00.699     46.61  HENRY -v6.00 -vb79 -vi7 -vr63 -vt0 
TACKLE1          5478      126  0:00.968     45.29  HENRY -v5.75 -vb79 -vi7 -vr63 -vt0 
TACKLE2          6546      123  0:00.945     55.44  HENRY -v5.75 -vb79 -vi7 -vt0 
TACKLE3          5484      119  0:00.914     48.00  HENRY -v5.75 -vb79 -vi7 -vr63 -vt0 
TACKLE4          6004      163  0:01.252     38.37  HENRY -v5.75 -vb79 -vi7 -vr63 -vt0 
TACKLE5          4718      109  0:00.837     45.09  HENRY -v5.75 -vb79 -vi7 -vr63 -vt0 
TACKLE6          8638      194  0:01.490     46.38  HENRY -v5.75 -vb79 -vi7 -vr63 -vt0 
TACKLE7          5690      141  0:01.083     42.04  HENRY -v5.75 -vb79 -vi7 -vr63 -vt0 
TACKLE8          5586      115  0:00.883     50.60  HENRY -v5.75 -vb79 -vi7 -vr63 -vt0 
TACKLE9          5168      115  0:00.883     46.81  HENRY -v5.75 -vb79 -vi7 -vr63 -vt0 
TD              46438      572  0:04.393     84.57  HENRY -v3.75 -vb95 -vi7 -vr79 -vt0 
VPHITGD1         1044       65  0:00.499     16.73  HENRY -v7.00 -vb47 -vi7 -vt1 
VPIMCLR          2754      139  0:01.068     20.64  HENRY -v7.50 -vb47 -vi7 -vt1 
WHISTSHR         6068      123  0:00.945     51.39  HENRY -v5.00 -vb95 -vi7 -vr79 -vt3 
WHSTLNG1         5796       99  0:00.760     60.98  HENRY -v5.00 -vb95 -vi7 -vr79 -vt3 
 
NFL Blitz 2000 Video Game (c) 1999 Midway Games -  (08/22/99 00:34:20) page 6


Summary

Total Average Bitrate:  40.3 kbits/sec
Total Time:             1:36.929 minutes
Total Number of .CMP's: 91
Total Size of .CMP's:   476.59 kbytes
